City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Langxiang,CN,46.95,128.8833,56.43,97,100,2.95,light rain
327,Panaba,MX,21.2833,-88.2667,90.12,50,68,13.44,broken clouds
328,Concordia,AR,-31.393,-58.0209,57.27,88,100,4.61,overcast clouds
329,Kavaratti,IN,10.5669,72.642,83.48,74,100,14.45,overcast clouds
330,Poum,NC,-20.2333,164.0167,78.15,86,87,22.93,overcast clouds
331,Candido Mendes,BR,-1.4467,-45.7167,89.4,46,80,5.23,broken clouds
332,Presque Isle,US,46.6811,-68.0159,78.3,41,71,14.74,broken clouds
333,Impfondo,CG,1.6381,18.0667,78.39,75,89,1.54,light rain
334,Markova,UA,48.6758,24.4138,65.79,73,71,2.84,broken clouds
335,West Odessa,US,31.8424,-102.4988,88.41,44,0,24.38,clear sky
336,Kolpashevo,RU,58.3131,82.9089,54.52,95,21,5.26,few clouds
337,Carauari,BR,-4.8828,-66.8958,77.88,83,96,2.77,overcast clouds
338,Namatanai,PG,-3.6667,152.4333,77.63,84,85,7.87,moderate rain
339,High Level,CA,58.5169,-117.136,66.31,63,20,2.3,few clouds
340,Kysyl-Syr,RU,63.8986,122.7617,48.74,76,1,5.37,clear sky
341,Quelimane,MZ,-17.8786,36.8883,75.15,78,20,9.22,few clouds
342,San Rafael,AR,-34.6177,-68.3301,59.05,26,0,4.9,clear sky
343,Touros,BR,-5.1989,-35.4608,83.75,55,14,12.84,few clouds
344,Voyvozh,RU,62.892,54.9635,62.49,90,100,3.4,overcast clouds
